course_id,instructor,instructor_rating
20,Glenda Carpio,5.0
21,Carla Martin,4.82
4,Jamaica Kincaid,5.0
5,Carla Martin,4.63
7,Roberto Mangabeira Unger,
7,John Stauffer,
9,Ingrid Monson,4.78
11,Timothy Ogene,4.82
13,Evelyn Higginbotham,4.67
14,Jacob Olupona,4.0
17,Jesse McCarthy,4.4
18,Henry Gates,4.78
23,John Mugane,5.0
1063,,4.83
1231,,4.5
1252,,5.0
1539,,4.6
1931,,5.0
2001,Taiwo Ehineni,5.0
2001,,5.0
2006,,4.93
108,Solsire Cusicanqui Marsano,4.8
109,E. Gabriella Coleman,4.13
111,Damina Khaira,
79,Sarah Hlubik,3.33
80,Amy Clark,
81,Matt Liebmann,4.4
84,Patricia Capone,4.36
84,Diana Loren,4.36
85,Solsire Cusicanqui Marsano,4.75
86,David L. Carrasco,4.9
86,Arthur Kleinman,4.9
86,Stephanie Paulsell,4.9
88,Julia Fierman,5.0
90,Julia Fierman,4.86
92,Lucien Castaing-Taylor,4.0
92,Verena Paravel,4.0
93,Lucien Castaing-Taylor,5.0
93,Verena Paravel,5.0
94,Damina Khaira,4.83
95,Andrea Wright,4.75
97,Jason Ur,4.43
99,Rowan Flad,4.83
101,Amy Clark,
102,Jason Silverstein,4.38
104,E. Gabriella Coleman,4.75
105,Arthur Kleinman,4.4
106,Lindsey Zeve,4.13
107,,5.0
107,,4.2
114,Chris Gumb,
114,Pavlos Protopapas,4.25
114,Alex Young,4.25
116,Simson Garfinkel,3.8
116,Michael Smith,3.8
117,Boris Kozinsky,4.46
119,Weiwei Pan,4.21
139,Cengiz Pehlevan,4.09
122,Robert Howe,3.43
124,Margo Levine,3.96
125,Adam Hesterberg,3.58
126,Sarah Iams,3.94
128,Michael Brenner,3.88
129,Eli Tziperman,4.35
135,Melanie Weber,3.86
137,Demba Ba,4.39
138,Na Li,4.25
151,Robert Haussman,3.38
151,Doeke Hekstra,
151,Eric Mazur,3.38
143,Boris Kozinsky,4.46
144,Giulia Semeghini,4.2
147,David Bell,4.0
148,Subir Sachdev,4.05
26,Maria Gamboa,4.33
27,Katarina Burin,4.82
56,Matt Saunders,
59,Annette Lemieux,4.63
61,Patrice Helmar,5.0
64,Robb Moss,5.0
67,Ruth Lingford,
68,Ruth Lingford,
68,Alain Viel,4.78
72,Joana Pimenta,3.73
73,Sharon Harper,3.38
25,Dan Byers,4.71
29,Kianja Strobert,4.44
30,Annette Lemieux,4.0
31,Kianja Strobert,4.78
32,chukwumaa --,4.5
35,Patrice Helmar,4.57
37,Alain Gomis,4.5
39,Alfred Guzzetti,4.5
41,Joana Pimenta,5.0
42,Lucien Castaing-Taylor,4.0
42,Verena Paravel,4.0
43,Lucien Castaing-Taylor,5.0
43,Verena Paravel,5.0
44,Sky Hopinka,4.4
46,John Stilgoe,4.82
47,John Stilgoe,
48,Aily Nash,
49,Haden Guest,5.0
52,Stephen Prina,4.0
53,Aily Nash,
55,Jennifer L. Roberts,4.83
55,Matt Saunders,
172,Gerhard Sonnert,4.68
164,John Johnson,3.95
171,Irwin Shapiro,3.57
162,Edo Berger,2.67
168,Lars Hernquist,
169,Ashley Villar,3.95
205,Nancy Long Sieber,3.63
205,Kristopher Sarosiek,3.63
186,David Mooney,
187,Linsey Moyer,
188,Jia Liu,4.33
189,Maurice Smith,4.21
191,Martha Bulyk,
191,Christopher Smillie,3.17
191,Peter Sorger,3.17
191,Shamil Sunyaev,3.17
192,Vassilios Bezzerides,
192,,4.22
192,Lucas Farnung,4.22
192,,4.22
192,Sahand Hormoz,4.22
192,Joseph Loparo,
192,Wesley Wong,4.22
194,Rui Wang,4.55
196,Georg Hahn,4.0
198,Rajarshi Mukherjee,4.78
199,L. Wei,
201,Nima Hejazi,3.18
202,Eric Franzosa,3.56
202,Kelsey Thompson,3.56
214,Joseph Nagy,4.48
353,Monique Brewster,3.5
353,Dominic Mao,3.5
233,Richard Liu,4.08
238,Brian Liau,3.72
238,Sirinya Matchacheep,3.72
242,Theodore Betley,3.57
219,Heidi Vollmer-Snarr,4.89
223,Daniel Nocera,
226,Xiaowei Zhuang,
227,Khaled Abdelazim,4.92
228,Suyang Xu,
230,Christina Woo,4.46
231,Emily Balskus,4.21
235,Joonho Lee,5.0
237,Shao-Liang Zheng,4.0
241,,4.17
1590,Frank Keutsch,3.05
1590,Gregory Tucci,
1590,Lu Wang,3.05
267,Emily Greenwood,4.83
275,Kathleen Coleman,4.11
268,Emma Dench,
268,Paul Kosmin,4.5
270,Irene Soto Marin,3.67
272,Jan Ziolkowski,4.8
273,Paul Kosmin,4.89
1025,,
1021,,5.0
1023,Gregory Nagy,4.75
1283,Ivy Livingston,4.43
1281,Rachel Love,
1417,,4.43
1426,Calliopi Dourou,5.0
292,Annette Lienau,4.42
276,Annette Lienau,4.71
277,Saul Zaritt,4.5
280,Luke Leafgren,3.5
281,Gregory Nagy,
282,Saul Zaritt,3.59
284,Jeffrey Schnapp,4.44
286,Panagiotis Roilos,3.8
287,Karen Thornber,4.5
288,Verena Conley,4.38
290,Junting Huang,3.83
320,Michael Mitzenmacher,3.28
320,Rebecca Nesson,3.28
344,Kitty Ascrizzi,4.32
344,Michael Smith,
347,David Malan,4.41
347,Carter Zenke,4.41
347,Yuliia Zhukovets,
347,David Malan,4.23
347,,4.23
347,Yuliia Zhukovets,4.23
347,,4.13
347,Carter Zenke,4.13
347,Yuliia Zhukovets,
347,David Malan,3.67
347,Carter Zenke,3.67
347,Yuliia Zhukovets,
348,Stuart Shieber,3.11
348,Brian Yu,3.11
348,Stuart Shieber,3.6
348,Brian Yu,3.6
296,Chris Gumb,
296,Pavlos Protopapas,4.25
296,Alex Young,4.25
299,Kitty Ascrizzi,3.61
299,Sitan Chen,3.61
299,Madhu Sudan,
301,Yiling Chen,4.47
303,Vijay Janapa Reddi,4.08
304,Minlan Yu,4.0
305,David Brooks,4.36
306,Gage Hills,
307,Nada Amin,
309,Eddie Kohler,4.79
312,Steven Gortler,3.97
313,Elena Glassman,
314,David Alvarez-Melis,3.33
314,Finale Doshi-Velez,
318,Harry Lewis,4.38
319,Karen Brennan,
321,Ignacio Becker Troncoso,2.82
321,Boris Kozinsky,
323,Cynthia Dwork,3.72
326,Ariel Procaccia,4.78
329,David Brooks,4.36
330,Gage Hills,
333,Stephen Chong,4.35
334,James Mickens,4.71
335,Stratos Idreos,4.75
336,Johanna Beyer,3.71
337,Krzysztof Gajos,4.32
341,Milind Tambe,3.05
343,John Girash,4.2
343,Martin Wattenberg,4.2
377,Steven Wofsy,4.11
377,Bryan Yoon,4.11
374,David Johnston,4.5
375,Rebecca Fischer,4.67
376,Nadja Drabon,4.43
376,Javier Ortega-Hernandez,4.43
378,Chloe Anderson,3.67
378,Esther James,3.67
356,Eli Tziperman,4.46
359,Scot Martin,
360,Roger Fu,5.0
361,Eli Tziperman,5.0
362,Daniel Jacob,4.63
363,Peter Huybers,4.0
364,Elsie Sunderland,
366,Ann Pearson,4.6
368,Roger Fu,5.0
369,Peter Huybers,4.0
370,John Shaw,5.0
371,Ann Pearson,4.6
1760,Jeremy Bloxham,4.76
1760,Brendan Meade,4.76
257,Fangzheng Zhang,
257,Fangzheng Zhang,4.86
257,Fangzheng Zhang,4.77
257,Fangzheng Zhang,4.8
257,Fangzheng Zhang,
245,Ying-Chieh Wang,5.0
245,Ying-Chieh Wang,4.89
245,Ying-Chieh Wang,4.67
246,Landon (Yuxiao) Du,
246,Landon (Yuxiao) Du,5.0
246,Landon (Yuxiao) Du,4.82
248,Bin Yang,4.67
248,Bin Yang,4.44
248,Bin Yang,5.0
250,Shunan Yang,
250,Shunan Yang,5.0
253,Xiaocheng Chen,4.67
254,Jing Cai,4.4
255,Jennifer Li-Chia Liu,4.8
255,David Wang,
260,Thomas Kelly,
262,Thomas Kelly,4.58
263,David Wang,5.0
379,Alexander Zahlten,4.73
389,Shigehisa Kuriyama,4.0
390,Daniel Koss,4.63
382,Ryuichi Abe,4.73
383,Ryuichi Abe,4.8
384,Shigehisa Kuriyama,
385,Daniel Koss,4.88
388,Si Nae Park,4.33
1264,Yuki Sakomura,4.82
1264,Yuki Sakomura,4.71
1255,Chikako Takehara,5.0
1255,Chikako Takehara,4.9
1257,Mihoko Yagi,4.8
1257,Mihoko Yagi,5.0
1259,Naomi Asakura,5.0
1259,Naomi Asakura,5.0
1261,Naomi Asakura,5.0
1265,David Howell,5.0
1266,Tomiko Yoda,4.83
1268,David Atherton,5.0
1275,Hi-Sun Kim,4.57
1275,Hi-Sun Kim,4.46
1275,Hwanhee Kim,4.78
1271,Ahsil Noh,4.23
1273,Hwanhee Kim,4.6
1981,Hoa Le,5.0
1981,Hoa Le,5.0
1978,Hoa Le,5.0
407,Anne Le Brun,3.91
409,Jason Furman,4.12
409,David Laibson,4.12
409,David Martin,4.12
483,Gregory Bruich,4.28
483,Raj Chetty,4.28
486,Thomas Baranga,
486,,4.78
486,,
486,Patrick Power,3.83
486,,4.43
486,James Rice,4.43
486,Mattia Landoni,4.8
486,,4.8
486,Cirrus Foroughi,4.8
486,,
486,Cirrus Foroughi,4.88
486,,4.88
486,Danielle Graves,4.44
486,,4.44
486,,4.6
486,Ethan Matlin,4.6
486,John Felter,4.33
486,,
486,John Felter,
486,,4.67
486,Katarina Fedorov,4.0
486,Anne Le Brun,4.0
486,,4.83
486,Andres Maggi,4.83
486,,4.29
486,Jinying Wang,4.29
486,Laura-Thorne Kincaide,4.0
486,,4.0
486,,4.14
486,Miaomiao Zhang,
487,Claudia Goldin,4.36
487,Lawrence Katz,4.36
488,Robert Barro,3.75
489,Amanda Pallais,4.67
492,Jeremy Stein,4.75
494,Kiran Gajwani,4.91
494,,4.75
494,Paul Willen,4.75
494,Gregory Bruich,5.0
494,,5.0
494,Matthew Basilico,4.0
