course_id,instructor,instructor_rating
6541,Davone Tines,5.0
6541,Isaac Winokur,5.0
6376,Henry Gates,
6376,Evelynn Hammonds,4.18
6377,Vivek Bald,4.25
6380,Linda Chavers,5.0
6382,Marcyliena Morgan,4.0
6383,Glenda Carpio,4.75
6384,Suzanne Blier,3.6
6385,Thomas Cummins,4.17
6385,Alejandro de la Fuente,
6387,Jean Comaroff,
6388,Gareth Doherty,3.67
6391,Jean Comaroff,
6393,John Mugane,3.83
7574,,2.5
7574,John Mugane,2.5
8255,John Mugane,5.0
8310,Taiwo Ehineni,5.0
8310,John Mugane,
8313,Taiwo Ehineni,4.83
8313,,
8315,,4.2
8315,,4.2
8317,John Mugane,4.75
6484,Malavika Reddy,4.64
6486,Michelle Choi,4.54
6488,Michelle Choi,4.14
6450,Amy Clark,5.0
6452,Patricia Capone,
6454,Matt Liebmann,
6455,Jess Beck,5.0
6458,David L. Carrasco,4.33
6461,Kaya Williams,
6463,Julia Fierman,4.8
6464,Salmaan Keshavjee,4.45
6464,Jason Silverstein,4.45
6464,Lindsey Zeve,4.45
6466,Joyhanna Garza,4.6
6468,Darja Djordjevic,4.58
6468,Arthur Kleinman,4.58
6469,Anna Jabloner,4.53
6471,Michelle Choi,4.91
6472,Jason Ur,4.0
6475,Anna Jabloner,4.8
6477,Gareth Doherty,3.67
6481,E. Gabriella Coleman,
6482,Kaya Williams,4.83
6483,,4.67
6483,,4.67
6491,Mark Glickman,3.55
6491,Pavlos Protopapas,3.55
6493,Michael Smith,3.28
6496,Christopher Tanner,4.18
6498,Daniel Weinstock,
6517,Dina Obeid,
6519,Cengiz Pehlevan,4.32
6502,Zhigang Suo,3.43
6503,Leslie Valiant,3.38
6504,Sarah Iams,4.43
6506,Zhiming Kuang,4.46
6507,Eli Tziperman,4.17
6509,Yiling Chen,3.86
6514,Michael Brenner,4.09
6518,Na Li,4.6
6530,Eric Mazur,3.78
6530,Prineha Narang,3.78
6530,Eric Mazur,3.88
6530,Prineha Narang,3.88
6521,Robert Westervelt,4.4
6522,Donhee Ham,4.68
6527,David Bell,4.58
6528,Ashvin Vishwanath,4.75
6431,Annette Lemieux,
6434,Elle Perez,5.0
6436,Sharon Harper,4.38
6438,Ross McElwee,4.29
6440,Joana Pimenta,4.57
6442,Ruth Lingford,4.43
6444,Akosua Owusu,4.5
6445,Laura Frahm,
6446,David Joselit,
6395,Katarina Burin,3.54
6396,Katarina Burin,4.88
6399,Annette Lemieux,
6402,Carissa Rodriguez,4.33
6406,John Edmonds,
6409,Ruth Lingford,4.86
6411,Young Joo Lee,4.7
6413,John Stilgoe,
6415,chukwumaa --,
6415,E. Jane,4.14
6417,John Stilgoe,4.0
6419,Haden Guest,4.6
6419,Dominga Sotomayor Castillo,4.6
6421,Dennis Lim,4.77
6426,Stephen Prina,
6430,Joana Pimenta,4.0
6554,Gerhard Sonnert,4.31
6545,Karin Oberg,3.7
6553,Irwin Shapiro,4.0
6543,Edo Berger,
6547,John Kovac,4.4
6551,Lars Hernquist,3.0
6588,Nancy Long Sieber,4.29
6588,Kristopher Sarosiek,4.29
6568,David Mooney,4.1
6569,Linsey Moyer,4.76
6570,Jia Liu,3.56
6571,Maurice Smith,4.13
6572,Peter Sorger,3.4
6572,Shamil Sunyaev,3.4
6574,Haribabu Arthanari,3.0
6574,,4.33
6574,Adam Cohen,4.33
6574,Sahand Hormoz,4.33
6574,,4.33
6574,Radhika Subramanian,4.33
6576,Rui Wang,4.7
6578,Georg Hahn,4.17
6580,David Wypij,2.5
6581,Rajarshi Mukherjee,4.43
6582,L. Wei,4.5
6584,Jeffrey Miller,4.87
6585,Eric Franzosa,
6585,Kelsey Thompson,
6594,Joseph Nagy,4.19
6618,Daniel Kahne,3.88
6618,Suzanne Walker,3.88
6726,Dominic Mao,
6728,Monique Brewster,4.8
6728,Dominic Mao,5.0
6611,Logan McCarty,4.58
6611,Gregory Tucci,4.58
6613,Emily Balskus,3.67
6613,Tim Brunker,3.67
6617,Jarad Mason,2.55
6597,Heidi Vollmer-Snarr,4.54
6601,Dilek Dogutan Kiper,4.0
6602,Daniel Nocera,4.92
6605,Eugene Shakhnovich,3.0
6607,Khaled Abdelazim,3.75
6616,Sirinya Matchacheep,3.0
6616,Gregory Tucci,3.0
6616,Lu Wang,3.0
7922,James Anderson,3.87
7922,Gregory Tucci,3.87
7922,Lu Wang,
6646,Adrian Staehli,2.9
6654,Harry Morgan,
6648,Margaret Andrews,4.63
6650,David Elmer,4.85
6652,Gregory Nagy,4.17
7378,,4.5
7376,Gregory Nagy,4.17
7377,Alexander Riehle,5.0
7624,Ivy Livingston,3.0
7624,Ivy Livingston,4.0
7621,Rachel Philbrick,4.6
7622,Irene Peirano Garrison,4.25
7777,Calliopi Dourou,5.0
7775,Calliopi Dourou,5.0
6673,Thomas Wisniewski,4.44
6655,Luke Leafgren,4.82
6656,Luis Giron Negron,4.25
6659,Marc Shell,4.0
6662,Annette Lienau,4.27
6664,John Hamilton,4.96
6666,John Hamilton,4.86
6670,Panagiotis Roilos,3.93
6674,Henry Leitner,3.3
6697,Rebecca Nesson,3.67
6720,Michael Smith,3.92
6722,David Malan,4.38
6722,Carter Zenke,4.38
6722,David Malan,4.0
6722,Carter Zenke,
6723,Stephen Chong,3.64
6723,Brian Yu,3.64
6723,Stephen Chong,3.76
6723,Brian Yu,3.76
6725,James Waldo,4.45
6678,Mark Glickman,3.55
6678,Pavlos Protopapas,3.55
6681,Adam Hesterberg,3.34
6684,Vijay Reddi,3.64
6685,Gage Hills,
6686,Nada Amin,
6688,James Mickens,4.91
6691,Steven Gortler,4.04
6692,Krzysztof Gajos,3.81
6693,Finale Doshi-Velez,
6696,Harry Lewis,4.02
